item_id,name,description,special_handling_instructions,dimensions_cm,unit_weight_kg,category,is_fragile,is_hazardous,reorder_point,economic_order_quantity,supplier_id,manufacturing_cost_per_unit
PROD-00001,Fully-configurable mission-critical middleware,Ea rerum molestiae praesentium error culpa deleniti. Quasi vel iure officia placeat ratione. Culpa voluptatem labore sunt aliquid sed omnis officiis.,Standard handling.,68x63x50,164.03,Household,False,False,459,851,SUP-019,4589.95
PROD-00002,Right-sized empowering encryption,Possimus repellat quis illum voluptas vero dolorem. Aut necessitatibus consectetur amet deleniti.,Standard handling.,20x73x22,5.02,Electronics,False,False,113,180,SUP-013,2518.78
PROD-00003,Face-to-face directional customer loyalty,Doloremque reprehenderit enim recusandae. Libero maiores numquam mollitia amet molestiae.,Standard handling.,39x64x43,175.44,Medical Supplies,False,False,97,431,SUP-006,1918.86
PROD-00004,Re-contextualized non-volatile function,Molestiae at ad tenetur nesciunt quidem eligendi. Iure officia rerum inventore neque amet veniam.,Standard handling.,96x53x38,29.67,Hardware,False,False,59,975,SUP-001,1562.33
PROD-00005,Exclusive local function,Numquam quae nam inventore perferendis aperiam. Eveniet dignissimos optio ab magni porro.,"None, Keep refrigerated.",32x20x40,42.01,Perishable,False,False,425,289,SUP-004,3940.81
PROD-00006,Self-enabling 5thgeneration implementation,Optio voluptas temporibus dolore accusantium.,"None, Fragile, handle with care.",52x24x34,157.29,Medical Supplies,True,False,460,244,SUP-009,3979.74
PROD-00007,Horizontal solution-oriented parallelism,Aliquid omnis sequi eum minima minima vel. Commodi quam dolorum alias eligendi nemo officia. Cupiditate veniam esse voluptate tempora neque.,Standard handling.,71x15x19,79.27,Clothing,False,False,382,338,SUP-018,274.14
PROD-00008,Function-based empowering firmware,Iusto pariatur cupiditate repudiandae quia corporis.,"None, Fragile, handle with care.",42x70x30,153.18,Household,True,False,460,359,SUP-004,242.8
PROD-00009,Grass-roots optimal migration,Cupiditate dolores quos inventore. Ut doloribus quae voluptas expedita velit veritatis.,Standard handling.,43x42x31,150.44,Electronics,False,False,256,407,SUP-017,83.19
PROD-00010,Reactive content-based pricing structure,Consequuntur iusto consectetur voluptates provident perferendis deleniti. Impedit laborum vel nostrum quam quisquam. Totam in alias repellat illo enim ipsa rerum. Ex expedita harum ea.,"None, Fragile, handle with care.",52x80x31,153.8,Medical Supplies,True,False,123,470,SUP-009,2440.25
PROD-00011,Vision-oriented bi-directional functionalities,Repudiandae rerum perferendis sit eaque. Perspiciatis maxime nemo magnam ducimus rerum enim.,"None, Hazardous material, consult safety data sheet.",35x61x41,163.34,Household,False,True,456,220,SUP-016,1795.3
PROD-00012,Business-focused object-oriented support,Fuga asperiores dignissimos. Tenetur possimus iusto. Modi vero culpa sit sapiente corporis itaque.,Standard handling.,35x68x9,152.57,Clothing,False,False,70,411,SUP-014,895.89
PROD-00013,Open-architected methodical focus group,Molestias modi facilis. Asperiores animi tempore. Numquam ratione similique sequi earum hic neque. Odio autem alias cupiditate.,Standard handling.,57x17x17,186.63,Electronics,False,False,110,153,SUP-010,3984.2
PROD-00014,Inverse secondary application,Animi at ex error voluptatem maxime aperiam. Dolorum quia voluptatibus. Quis corrupti harum optio.,Standard handling.,18x80x27,97.12,Hardware,False,False,187,341,SUP-011,1354.39
PROD-00015,Multi-channeled mission-critical utilization,Eveniet quibusdam illum nemo nulla. Qui quisquam distinctio doloremque beatae culpa facere. Dolorum quidem laboriosam vel nulla quidem laborum.,Standard handling.,89x75x45,113.76,Books,False,False,218,437,SUP-005,1025.42
PROD-00016,Customer-focused client-driven capability,Beatae explicabo at natus fuga sed deleniti. Velit quia sequi doloribus. Incidunt temporibus numquam natus eaque.,Standard handling.,15x22x43,65.33,Medical Supplies,False,False,355,335,SUP-019,1739.08
PROD-00017,Up-sized client-server encoding,Itaque tempora voluptate eligendi odio omnis. Debitis quia magnam earum. Repellat voluptatum provident reprehenderit nobis repellat. Quidem veniam maxime quam.,"None, Hazardous material, consult safety data sheet.",93x34x40,60.82,Clothing,False,True,175,290,SUP-012,1567.71
PROD-00018,Networked even-keeled conglomeration,Repudiandae iure a esse numquam maiores. Incidunt dignissimos odio laudantium.,Standard handling.,12x11x10,44.72,Hardware,False,False,141,124,SUP-012,2016.43
PROD-00019,Quality-focused contextually-based flexibility,Earum aperiam possimus cupiditate. Magnam quidem eos quaerat.,"None, Fragile, handle with care.",66x53x8,109.45,Electronics,True,False,114,256,SUP-014,2032.73
PROD-00020,Open-source intermediate synergy,Veniam doloribus laboriosam ducimus laboriosam vel quo. Eaque ipsam sint ut sunt. Illo nostrum quos inventore.,Standard handling.,87x57x45,39.28,Electronics,False,False,405,223,SUP-008,4100.2
PROD-00021,Expanded dynamic emulation,Corporis voluptate velit sunt voluptas iste. Facilis numquam facere iusto.,"None, Keep refrigerated.",51x57x31,121.85,Perishable,False,False,143,953,SUP-009,2665.76
PROD-00022,Switchable secondary product,Laudantium aliquid quia. At tempore veritatis eum sed sequi.,"None, Fragile, handle with care.",28x57x44,47.76,Electronics,True,False,190,922,SUP-002,1798.56
PROD-00023,Fully-configurable dedicated neural-net,Aliquid magni sunt repellendus repellat cum repellat. Debitis molestiae deleniti quisquam corrupti ullam suscipit.,Standard handling.,69x77x36,176.41,Hardware,False,False,344,394,SUP-013,4448.89
PROD-00024,Versatile interactive orchestration,Voluptate iure voluptatibus reprehenderit tenetur blanditiis magni enim. Explicabo molestiae eligendi fuga iure quidem. Mollitia corporis atque aperiam. Cupiditate eaque tempora fugit cumque.,Standard handling.,79x72x40,66.62,Clothing,False,False,476,334,SUP-013,3498.48
PROD-00025,Open-architected needs-based help-desk,Fuga recusandae sapiente repellat. Non veniam reiciendis nihil eum nam. Repellat error tenetur natus.,"None, Keep refrigerated.",84x51x40,177.51,Perishable,False,False,395,866,SUP-003,4498.72
PROD-00026,Multi-layered didactic archive,Repellat odit vitae asperiores laudantium.,Standard handling.,28x44x24,29.29,Clothing,False,False,272,988,SUP-012,326.94
PROD-00027,Fully-configurable mission-critical knowledgebase,Quos quaerat libero. In laborum maxime.,Standard handling.,48x46x20,38.51,Hardware,False,False,134,565,SUP-013,3374.39
PROD-00028,Balanced real-time website,Nihil provident possimus sapiente dolorum temporibus. Autem aliquam commodi officiis velit.,Standard handling.,31x66x25,177.08,Books,False,False,383,525,SUP-010,4150.67
PROD-00029,Ameliorated well-modulated leverage,Nemo perspiciatis voluptates expedita maiores aliquam. Impedit iure optio.,"None, Keep refrigerated.",78x56x25,3.83,Perishable,False,False,219,978,SUP-006,4920.74
PROD-00030,Up-sized non-volatile data-warehouse,Iure fugiat ipsam illum. Deserunt tempore provident. Fugit quo occaecati velit dolorum provident illo minima.,Standard handling.,53x58x40,131.04,Clothing,False,False,284,833,SUP-011,2953.51
PROD-00031,Customer-focused interactive parallelism,Eum odit delectus eveniet facilis voluptatum ad. Saepe repellat maiores dolores dicta cum harum.,"None, Hazardous material, consult safety data sheet.",40x48x12,144.9,Books,False,True,187,758,SUP-013,3530.18
PROD-00032,Object-based mission-critical installation,Ad dicta vel inventore magni possimus laborum. Quos nesciunt officiis sunt molestiae voluptatibus tempore. Enim repellat provident.,Standard handling.,77x41x37,102.06,Books,False,False,394,625,SUP-018,4164.0
PROD-00033,Seamless context-sensitive website,Facilis quas accusantium beatae numquam quos ab. Perferendis aut repudiandae deleniti.,Standard handling.,63x14x6,135.28,Hardware,False,False,446,492,SUP-014,1176.63
