traffic_id,city_name,area_or_road_segment,timestamp,traffic_level,average_speed_kph,incident_type,incident_description,estimated_delay_minutes
TRF-0000001,Nizamabad,MG Road,2025-08-29 19:44:13,Severe,8.0,Construction,Construction reported near MG Road in Nizamabad.,9
TRF-0000002,Ujjain,ITPL Main Road,2025-08-29 18:03:13,Heavy,22.1,None,None,0
TRF-0000003,Secunderabad,Hyderabad-Mumbai Highway,2025-08-29 18:58:13,Moderate,42.9,None,None,0
TRF-0000004,Ambarnath,Hyderabad-Mumbai Highway,2025-08-29 18:56:13,Moderate,18.2,Road Closure,Road Closure reported near Hyderabad-Mumbai Highway in Ambarnath.,56
TRF-0000005,Mau,Outer Ring Road,2025-08-29 19:33:13,Moderate,9.1,None,None,0
TRF-0000006,Burhanpur,MG Road,2025-08-29 18:31:13,Heavy,17.5,None,None,0
TRF-0000007,Berhampore,ITPL Main Road,2025-08-29 18:10:13,Low,17.3,None,None,0
TRF-0000008,Gangtok,ITPL Main Road,2025-08-29 18:57:13,Low,51.8,Accident,Accident reported near ITPL Main Road in Gangtok.,55
TRF-0000009,Akola,ITPL Main Road,2025-08-29 18:54:13,Low,31.2,None,None,0
TRF-0000010,Sambhal,MG Road,2025-08-29 19:39:13,Heavy,24.8,None,None,0
TRF-0000011,Anantapur,Anna Salai,2025-08-29 18:50:13,Severe,8.0,None,None,0
TRF-0000012,Bhavnagar,NH44 Bypass,2025-08-29 18:16:13,Low,22.3,Construction,Construction reported near NH44 Bypass in Bhavnagar.,114
TRF-0000013,Bhiwani,Outer Ring Road,2025-08-29 19:59:13,Low,19.0,None,None,0
TRF-0000014,Hosur,MG Road,2025-08-29 18:02:13,Heavy,20.7,None,None,0
TRF-0000015,Firozabad,Hyderabad-Mumbai Highway,2025-08-29 18:18:13,Low,55.7,None,None,0
TRF-0000016,Jaunpur,Hyderabad-Mumbai Highway,2025-08-29 18:59:13,Severe,8.8,None,None,0
TRF-0000017,Shivpuri,MG Road,2025-08-29 18:16:13,Severe,13.4,Accident,Accident reported near MG Road in Shivpuri.,25
TRF-0000018,Belgaum,Connaught Place,2025-08-29 18:12:13,Low,60.5,None,None,0
TRF-0000019,Loni,NH44 Bypass,2025-08-29 19:36:13,Moderate,12.6,None,None,0
TRF-0000020,Guna,Connaught Place,2025-08-29 18:52:13,Severe,10.1,None,None,0
TRF-0000021,Patna,Anna Salai,2025-08-29 19:26:13,Low,33.2,None,None,0
TRF-0000022,Vasai-Virar,Marine Drive,2025-08-29 18:26:13,Moderate,50.0,Vehicle Breakdown,Vehicle Breakdown reported near Marine Drive in Vasai-Virar.,83
TRF-0000023,Srikakulam,Hyderabad-Mumbai Highway,2025-08-29 19:51:13,Moderate,10.4,None,None,0
TRF-0000024,Bidar,ITPL Main Road,2025-08-29 18:35:13,Low,54.8,Road Closure,Road Closure reported near ITPL Main Road in Bidar.,33
TRF-0000025,Indore,Connaught Place,2025-08-29 19:26:13,Low,40.2,None,None,0
TRF-0000026,Kamarhati,Old Airport Road,2025-08-29 19:34:13,Low,56.6,Vehicle Breakdown,Vehicle Breakdown reported near Old Airport Road in Kamarhati.,117
TRF-0000027,Kalyan-Dombivli,Anna Salai,2025-08-29 18:55:13,Heavy,27.1,Construction,Construction reported near Anna Salai in Kalyan-Dombivli.,89
TRF-0000028,Kirari Suleman Nagar,ITPL Main Road,2025-08-29 19:18:13,Heavy,15.5,None,None,0
TRF-0000029,Vadodara,MG Road,2025-08-29 18:07:13,Heavy,18.5,None,None,0
TRF-0000030,Panipat,MG Road,2025-08-29 19:16:13,Low,38.7,None,None,0
TRF-0000031,Moradabad,ITPL Main Road,2025-08-29 19:08:13,Moderate,20.9,None,None,0
TRF-0000032,Bidar,MG Road,2025-08-29 18:47:13,Moderate,57.0,None,None,0
TRF-0000033,Jabalpur,Anna Salai,2025-08-29 18:49:13,Severe,5.6,Road Closure,Road Closure reported near Anna Salai in Jabalpur.,29
TRF-0000034,Rampur,Hyderabad-Mumbai Highway,2025-08-29 19:38:13,Heavy,28.3,None,None,0
TRF-0000035,Pune,Marine Drive,2025-08-29 18:26:13,Moderate,61.6,None,None,0
TRF-0000036,Varanasi,ITPL Main Road,2025-08-29 19:23:13,Moderate,9.8,Accident,Accident reported near ITPL Main Road in Varanasi.,41
