segment_id,segment_name,start_city,end_city,length_km,base_travel_time_minutes,road_type
SEG-000001,Kottayam to Saharsa via Highway 62,Kottayam,Saharsa,21.28,30,Rural Road
SEG-000002,Narasaraopet to Akola via Rural Road 24,Narasaraopet,Akola,374.37,348,Urban Arterial
SEG-000003,Agartala to Navi Mumbai via Rural Road 99,Agartala,Navi Mumbai,385.41,306,Rural Road
SEG-000004,Gorakhpur to Guwahati via Rural Road 93,Gorakhpur,Guwahati,172.64,126,Expressway
SEG-000005,Narasaraopet to Patiala via State Highway 97,Narasaraopet,Patiala,476.86,600,State Highway
SEG-000006,Patiala to Deoghar via Expressway 64,Patiala,Deoghar,133.37,134,State Highway
SEG-000007,Jamalpur to Shimoga via Expressway 45,Jamalpur,Shimoga,200.57,140,Urban Arterial
SEG-000008,South Dumdum to Pali via Rural Road 86,South Dumdum,Pali,187.65,188,State Highway
SEG-000009,Aurangabad to Rajkot via Expressway 79,Aurangabad,Rajkot,446.66,600,Urban Arterial
SEG-000010,Kishanganj to Mango via Expressway 10,Kishanganj,Mango,223.55,445,Urban Arterial
SEG-000011,Tiruvottiyur to Vasai-Virar via Highway 36,Tiruvottiyur,Vasai-Virar,455.25,419,Rural Road
SEG-000012,Belgaum to Ambarnath via Rural Road 59,Belgaum,Ambarnath,368.58,292,Urban Arterial
SEG-000013,Unnao to Jorhat via Highway 75,Unnao,Jorhat,285.06,237,Highway
SEG-000014,Unnao to Dehradun via Rural Road 21,Unnao,Dehradun,90.98,64,State Highway
SEG-000015,Thiruvananthapuram to New Delhi via Expressway 31,Thiruvananthapuram,New Delhi,255.35,186,Expressway
SEG-000016,Berhampore to Maheshtala via Urban Arterial 8,Berhampore,Maheshtala,52.55,39,Expressway
SEG-000017,Phagwara to Katihar via Highway 7,Phagwara,Katihar,62.78,55,Expressway
SEG-000018,Navi Mumbai to Varanasi via Rural Road 92,Navi Mumbai,Varanasi,103.09,108,Highway
SEG-000019,Guna to Ranchi via Rural Road 84,Guna,Ranchi,397.23,600,Expressway
SEG-000020,Dehradun to Nanded via Highway 98,Dehradun,Nanded,62.85,70,Expressway
